Time (s),Illuminance (lux),Timestamp,Condition
0.053,2.26,2026-01-12 02:01:30.290,Transition
0.158,2.26,2026-01-12 02:01:30.395,Transition
0.256,2.26,2026-01-12 02:01:30.493,Transition
0.367,2.26,2026-01-12 02:01:30.604,Transition
0.464,2.26,2026-01-12 02:01:30.701,Transition
0.564,2.26,2026-01-12 02:01:30.801,Transition
0.664,2.26,2026-01-12 02:01:30.901,Transition
0.764,2.26,2026-01-12 02:01:31.001,Transition
0.865,2.26,2026-01-12 02:01:31.102,Transition
0.964,2.26,2026-01-12 02:01:31.201,Transition
1.066,2.26,2026-01-12 02:01:31.303,Transition
1.165,2.26,2026-01-12 02:01:31.402,Transition
1.266,2.26,2026-01-12 02:01:31.503,Transition
1.367,2.26,2026-01-12 02:01:31.604,Transition
1.465,2.26,2026-01-12 02:01:31.702,Transition
1.565,2.26,2026-01-12 02:01:31.802,Transition
1.665,2.26,2026-01-12 02:01:31.902,Transition
1.759,2.26,2026-01-12 02:01:31.996,Transition
1.865,2.26,2026-01-12 02:01:32.102,Transition
1.965,2.26,2026-01-12 02:01:32.202,Transition
2.065,2.89,2026-01-12 02:01:32.302,Transition
2.166,4.76,2026-01-12 02:01:32.403,Transition
2.266,5.28,2026-01-12 02:01:32.503,Transition
2.365,5.46,2026-01-12 02:01:32.602,Transition
2.465,6.03,2026-01-12 02:01:32.702,Transition
2.566,7.01,2026-01-12 02:01:32.803,Transition
2.665,7.68,2026-01-12 02:01:32.902,Transition
2.766,7.91,2026-01-12 02:01:33.003,Transition
2.864,7.91,2026-01-12 02:01:33.101,Transition
2.964,8.51,2026-01-12 02:01:33.201,Transition
3.065,7.91,2026-01-12 02:01:33.302,Transition
3.166,7.5,2026-01-12 02:01:33.403,Transition
3.265,7.5,2026-01-12 02:01:33.502,Transition
3.361,7.5,2026-01-12 02:01:33.598,Transition
3.465,7.5,2026-01-12 02:01:33.702,Transition
3.562,6.94,2026-01-12 02:01:33.799,Transition
3.661,6.67,2026-01-12 02:01:33.898,Transition
3.761,6.67,2026-01-12 02:01:33.998,Transition
3.853,6.94,2026-01-12 02:01:34.090,Transition
3.961,7.5,2026-01-12 02:01:34.198,Transition
4.06,6.94,2026-01-12 02:01:34.297,Transition
4.161,6.94,2026-01-12 02:01:34.398,Transition
4.261,6.94,2026-01-12 02:01:34.498,Transition
4.361,6.94,2026-01-12 02:01:34.598,Transition
4.461,7.5,2026-01-12 02:01:34.698,Transition
4.553,7.5,2026-01-12 02:01:34.790,Transition
4.656,7.5,2026-01-12 02:01:34.893,Transition
4.761,6.94,2026-01-12 02:01:34.998,Transition
4.86,7.5,2026-01-12 02:01:35.097,Transition
4.957,7.5,2026-01-12 02:01:35.194,Transition
5.062,7.5,2026-01-12 02:01:35.299,Transition
5.161,6.94,2026-01-12 02:01:35.398,Transition
5.261,7.5,2026-01-12 02:01:35.498,Transition
5.361,7.5,2026-01-12 02:01:35.598,Transition
5.459,6.94,2026-01-12 02:01:35.696,Transition
5.561,6.84,2026-01-12 02:01:35.798,Transition
5.66,5.97,2026-01-12 02:01:35.897,Transition
5.761,4.58,2026-01-12 02:01:35.998,Transition
5.86,3.25,2026-01-12 02:01:36.097,Transition
5.96,3.19,2026-01-12 02:01:36.197,Transition
6.061,3.36,2026-01-12 02:01:36.298,Transition
6.161,3.36,2026-01-12 02:01:36.398,Transition
6.26,3.36,2026-01-12 02:01:36.497,Transition
6.361,3.36,2026-01-12 02:01:36.598,Transition
6.461,3.36,2026-01-12 02:01:36.698,Transition
6.562,3.36,2026-01-12 02:01:36.799,Transition
6.66,3.89,2026-01-12 02:01:36.897,Transition
6.764,3.7,2026-01-12 02:01:37.001,Transition
6.858,3.89,2026-01-12 02:01:37.095,Transition
6.96,3.89,2026-01-12 02:01:37.197,Transition
7.057,3.7,2026-01-12 02:01:37.294,Transition
7.16,3.7,2026-01-12 02:01:37.397,Transition
7.259,3.89,2026-01-12 02:01:37.496,Transition
7.36,3.46,2026-01-12 02:01:37.597,Transition
7.459,3.46,2026-01-12 02:01:37.696,Transition
7.56,3.53,2026-01-12 02:01:37.797,Transition
7.66,3.53,2026-01-12 02:01:37.897,Transition
7.76,3.89,2026-01-12 02:01:37.997,Transition
7.86,3.53,2026-01-12 02:01:38.097,Transition
7.961,3.53,2026-01-12 02:01:38.198,Transition
8.059,3.53,2026-01-12 02:01:38.296,Transition
8.163,3.53,2026-01-12 02:01:38.400,Transition
8.26,3.53,2026-01-12 02:01:38.497,Transition
8.361,3.53,2026-01-12 02:01:38.598,Transition
8.461,3.53,2026-01-12 02:01:38.698,Transition
8.56,3.53,2026-01-12 02:01:38.797,Transition
8.66,3.96,2026-01-12 02:01:38.897,Transition
8.759,4.03,2026-01-12 02:01:38.996,Transition
8.86,4.03,2026-01-12 02:01:39.097,Transition
8.961,4.03,2026-01-12 02:01:39.198,Transition
9.059,4.03,2026-01-12 02:01:39.296,Transition
9.156,4.23,2026-01-12 02:01:39.393,Transition
9.255,4.63,2026-01-12 02:01:39.492,Transition
9.36,4.23,2026-01-12 02:01:39.597,Transition
9.458,4.23,2026-01-12 02:01:39.695,Transition
9.56,4.23,2026-01-12 02:01:39.797,Transition
9.659,4.03,2026-01-12 02:01:39.896,Transition
9.761,4.23,2026-01-12 02:01:39.998,Transition
9.859,4.03,2026-01-12 02:01:40.096,Transition
9.959,4.03,2026-01-12 02:01:40.196,Transition
10.063,4.03,2026-01-12 02:01:40.300,Transition
10.165,4.03,2026-01-12 02:01:40.402,Transition
10.257,3.46,2026-01-12 02:01:40.494,Transition
10.361,2.63,2026-01-12 02:01:40.598,Transition
10.465,3.08,2026-01-12 02:01:40.702,Transition
10.564,3.14,2026-01-12 02:01:40.801,Transition
10.663,3.31,2026-01-12 02:01:40.900,Transition
10.764,3.65,2026-01-12 02:01:41.001,Transition
10.857,3.31,2026-01-12 02:01:41.094,Transition
10.96,3.31,2026-01-12 02:01:41.197,Transition
11.06,3.31,2026-01-12 02:01:41.297,Transition
11.159,3.14,2026-01-12 02:01:41.396,Transition
11.253,3.14,2026-01-12 02:01:41.490,Transition
11.36,3.08,2026-01-12 02:01:41.597,Transition
11.464,3.08,2026-01-12 02:01:41.701,Transition
11.56,3.08,2026-01-12 02:01:41.797,Transition
11.659,3.08,2026-01-12 02:01:41.896,Transition
11.762,3.14,2026-01-12 02:01:41.999,Transition
11.859,3.14,2026-01-12 02:01:42.096,Transition
11.958,3.14,2026-01-12 02:01:42.195,Transition
12.06,3.14,2026-01-12 02:01:42.297,Transition
12.158,3.14,2026-01-12 02:01:42.395,Transition
12.258,3.14,2026-01-12 02:01:42.495,Transition
12.356,3.14,2026-01-12 02:01:42.593,Transition
12.459,3.14,2026-01-12 02:01:42.696,Transition
